objectid,parentid,title,field_edtf_date,field_description_long,field_linked_agent,field_physical_form,field_genre,field_extent,field_language,field_subject,field_subjects_name,field_geographic_subject,field_temporal_subject,field_use_reproduction,field_rights_statement,field_collection_guide,field_shelf_locator,field_local_identifier,field_note,field_member_of,type,format,object_comments,group,display_template,object_location,image_small,image_thumb,extension,image_alt_text,notes
35,29,,2025,,,,,,,,,,,,,,,,,Albert Bigelow,Image;StillImage,image/jpeg,,artifact,,/objects/Barometer_Back.png,/objects/small/barometer_back_sm.jpg,/objects/thumbs/barometer_back_th.jpg,png,,
47,,Hannah J. Bailey Teacup and Saucer,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,Image;StillImage,image/jpeg,,model,3d_model,/objects/HJBTeacup_Front.png,/objects/small/hjbteacup_front_sm.jpg,/objects/thumbs/hjbteacup_front_th.jpg,jpg,"Porcelain teacup with name ""Hannah J. Bailey."" The cup is painted yellow and green with flora and fauna. ",
48,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
49,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
50,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
51,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/HannahJBailey_Teacup.glb,,,glb,,
52,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/HJBTeacup_Front.png,/objects/small/hjbteacup_front_sm.jpg,/objects/thumbs/hjbteacup_front_th.jpg,png,,
53,47,,2025,,,,,,,,,,,,,,,,,Hannah J. Bailey China,Image;StillImage,image/jpeg,,artifact,image,/objects/HJBTeacup_Back.png,/objects/small/hjbteacup_back_sm.jpg,/objects/thumbs/hjbteacup_back_th.jpg,png,,
75,,Jane Addams' Nobel Peace Prize,2025,The Nobel Peace Prize was awarded to Jane Addams in 1931 for her lifelong dedication to international relations and disarmament. She was the first American woman to receive the honor. ,,,,,,,,,,,,,,,,Nobel Peace Prize,Image;StillImage,image/jpeg,,model,3d_model,/objects/JANobel_Front.png,/objects/small/janobel_front_sm.jpg,/objects/thumbs/janobel_front_th.jpg,jpg,"Gold medal with Alfred Nobel's profile on one side; On the other side are three naked men embracing, they are surrounded by the words ""Pro pace et fraternitate gentium"" (For peace and fraternity among peoples).",
76,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,InteractiveResource;3DObject,model/mtl,,artifact,3d_model_child,/objects/3d/ja_nobel_peace_prize_1.glb,,,glb,,
77,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,InteractiveResource;3DObject,model/obj,,artifact,3d_model_child,/objects/3d/ja_nobel_peace_prize_1.glb,,,glb,,
78,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,InteractiveResource;3DObject,model/stl,,artifact,3d_model_child,/objects/3d/ja_nobel_peace_prize_1.glb,,,glb,,
79,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,InteractiveResource;3DObject,model/x3d,,artifact,3d_model_child,/objects/3d/ja_nobel_peace_prize_1.glb,,,glb,,
80,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,Image;StillImage,image/jpeg,,multiple,artifact_image,/objects/JANobel_Front.png,/objects/small/janobel_front_sm.jpg,/objects/thumbs/janobel_front_th.jpg,png,,
81,75,,2025,,,,,,,,,,,,,,,,,Nobel Peace Prize,Image;StillImage,image/jpeg,,artifact,image,/objects/JANobel_Back.png,/objects/small/janobel_back_sm.jpg,/objects/thumbs/janobel_back_th.jpg,png,,
