subject,count,link
"lithics",29,"https://swat-ds.github.io/peace-collection//browse.html#lithics"
"crabtree, donald "don" e.",24,"https://swat-ds.github.io/peace-collection//browse.html#crabtree,%20donald%20%22don%22%20e."
"experimental artifacts",23,"https://swat-ds.github.io/peace-collection//browse.html#experimental%20artifacts"
"laccetti, m.f.",7,"https://swat-ds.github.io/peace-collection//browse.html#laccetti,%20m.f."
"artifacts",6,"https://swat-ds.github.io/peace-collection//browse.html#artifacts"
