objectid,parentid,title,creator,date,date_archival,date_is_approximate,description,subject,recipient,associated_names,location,latitude,longitude,location_2,latitude_2,longitude_2,identifier,doc_length,cabinet,drawer,box,bag,type_point,material,material_source,length_mm,width_mm,thickness_mm,weight_g,count,source,language,rights,rightsstatement,student_initials,GGOI,original_format,type,format,object_comments,group,display_template,filename,extension,box_num,folder_num,id_num,publish,object_thumb,object_location,reference_url
"ce_ca_d2_7940_model_x3d","ce_ca_d2_7940_model",,"Laccetti, M.F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/x3d",,"artifact","3d_model_child",,"x3d",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940_model.x3d","https://swat-ds.github.io/peace-collection//items/ce_ca_d2_7940_model.html#ce_ca_d2_7940_model_x3d"
"ce_ca_d2_7940-a","ce_ca_d2_7940_model","Ce.7940","Laccetti, M.F.",,"N/A",,"Part of Donald E. Crabtree&#39;s experiments with heat treating stone. Ce.7940 is a fragment of Ce.7939. This specific experiment had the stone heat treated from 8:00am to 3:00pm in electric furnace peaking at 1700 degrees F. The object is a percussion flake and is associated with Ce.7892-Ce.7939.","experimental artifacts; lithics",,,,,,,,,"CE_CA_D2_7940-a",,"A","2","N/A","N/A","comparative piece","chert","New York","73.29","39.58","16.62","33.2","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CA","D2","7940-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d2_7940_model.html#ce_ca_d2_7940-a"
"ce_ca_d2_7940-b","ce_ca_d2_7940_model","Ce.7940","Laccetti, M.F.",,"N/A",,"Part of Donald E. Crabtree&#39;s experiments with heat treating stone. Ce.7940 is a fragment of Ce.7939. This specific experiment had the stone heat treated from 8:00am to 3:00pm in electric furnace peaking at 1700 degrees F. The object is a percussion flake and is associated with Ce.7892-Ce.7939.","experimental artifacts; lithics",,,,,,,,,"CE_CA_D2_7940-b",,"A","2","N/A","N/A","comparative piece","chert","New York","73.29","39.58","16.62","33.2","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CA","D2","7940-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d2_7940-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D2_7940-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d2_7940_model.html#ce_ca_d2_7940-b"
"ce_ca_d3_9204-a",,"Ce.9204","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"No contextual data","experimental artifacts; lithics",,,,,,,,,"CE_CA_D3_9204-a",,"A","3","N/A","N/A","projectile point","ignimbrite","N/A","34.17","24.59","7.62","5","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CA","D3","9204-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d3_9204-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D3_9204-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d3_9204-a.html"
"ce_ca_d3_9204-b","ce_ca_d3_9204-a","Ce.9204","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"No contextual data","experimental artifacts; lithics",,,,,,,,,"CE_CA_D3_9204-b",,"A","3","N/A","N/A","projectile point","ignimbrite","N/A","34.17","24.59","7.62","5","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CA","D3","9204-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d3_9204-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D3_9204-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d3_9204-a.html#ce_ca_d3_9204-b"
"ce_ca_d3_9208-a",,"Ce.9208","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"No contextual data","experimental artifacts; lithics",,,,,,,,,"CE_CA_D3_9208-a",,"A","3","N/A","N/A","projectile point","ignimbrite","N/A","45.7","17.41","7.52","5.4","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"multiple","artifact_image",,"jpg","CA","D3","9208-a",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d3_9208-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D3_9208-a.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d3_9208-a.html"
"ce_ca_d3_9208-b","ce_ca_d3_9208-a","Ce.9208","Crabtree, Donald &quot;Don&quot; E.",,"N/A",,"No contextual data","experimental artifacts; lithics",,,,,,,,,"CE_CA_D3_9208-b",,"A","3","N/A","N/A","projectile point","ignimbrite","N/A","45.7","17.41","7.52","5.4","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF",,"artifact","Image;StillImage","image/jpeg",,"artifact","image",,"jpg","CA","D3","9208-b",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_ca_d3_9208-b_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CA_D3_9208-b.jpg","https://swat-ds.github.io/peace-collection//items/ce_ca_d3_9208-a.html#ce_ca_d3_9208-b"
"ce_cc_d2_1950_model",,"Ce.1950","Crabtree, Donald &quot;Don&quot; E.","1975-80","1975-80","yes","Clovis","experimental artifacts; lithics",,,,,,,,,"CE_CC_D2_1950_model",,"C","2","N/A","N/A","projectile point","obsidian","Glass Butte, Oregon","84.25","31.16","7.16","20.6","1","Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/","AF","yes","artifact","InteractiveResource;3DObject",,,"model","3d_model",,"jpg","CC","D2","1950",,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950-a_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.jpg","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html"
"ce_cc_d2_1950_model_mtl","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/mtl",,"artifact","3d_model_child",,"mtl",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.mtl","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_mtl"
"ce_cc_d2_1950_model_obj","ce_cc_d2_1950_model",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Donald E. Crabtree Lithic Technology Collection, Alfred W. Bowers Laboratory of Anthropology, University of Idaho",,,"http://rightsstatements.org/vocab/InC-EDU/1.0/",,,,"InteractiveResource;3DObject","model/obj",,"artifact","3d_model_child",,"obj",,,,,"https://objects.lib.uidaho.edu/crabtree/thumbs/ce_cc_d2_1950_model_th.jpg","https://objects.lib.uidaho.edu/crabtree/CE_CC_D2_1950_model.obj","https://swat-ds.github.io/peace-collection//items/ce_cc_d2_1950_model.html#ce_cc_d2_1950_model_obj"
